x,y
612.0,220.0
632.0,208.0
638.0,204.0
596.0,220.0
608.0,200.0
612.0,184.0
612.0,164.0
592.0,148.0
584.0,144.0
572.0,124.0
620.0,160.0
584.0,168.0
584.0,160.0
596.0,148.0
596.0,164.0
608.0,156.0
602.0,236.0
609.0,224.0
622.0,210.0
628.0,200.0
596.0,184.0
476.0,152.0
611.0,163.0
626.0,148.0
632.0,148.0
632.0,152.0
636.0,128.0
632.0,124.0
636.0,112.0
624.0,104.0
600.0,92.0
620.0,80.0
544.0,104.0
548.0,88.0
628.0,96.0
639.0,160.0
639.0,159.0
639.0,158.0
639.0,160.0
639.0,162.0
639.0,163.0
612.0,180.0
639.0,166.0
636.0,176.0
637.0,172.0
628.0,180.0
616.0,184.0
636.0,180.0
632.0,180.0
612.0,184.0
636.0,180.0
612.0,184.0
624.0,180.0
616.0,180.0
608.0,184.0
572.0,188.0
572.0,188.0
616.0,188.0
624.0,192.0
624.0,192.0
624.0,192.0
636.0,188.0
576.0,192.0
572.0,192.0
576.0,192.0
576.0,192.0
564.0,192.0
552.0,188.0
572.0,184.0
576.0,188.0
572.0,192.0
576.0,196.0
576.0,196.0
636.0,192.0
600.0,196.0
576.0,196.0
632.0,196.0
632.0,196.0
636.0,196.0
580.0,196.0
588.0,200.0
580.0,200.0
616.0,200.0
608.0,200.0
608.0,200.0
588.0,196.0
608.0,200.0
636.0,204.0
628.0,228.0
628.0,236.0
636.0,220.0
639.0,222.0
636.0,220.0
616.0,200.0
628.0,196.0
632.0,196.0
636.0,196.0
628.0,196.0
636.0,196.0
628.0,200.0
628.0,200.0
600.0,200.0
600.0,200.0
600.0,200.0
596.0,200.0
600.0,196.0
636.0,196.0
636.0,196.0
594.0,200.0
592.0,200.0
628.0,200.0
632.0,200.0
636.0,200.0
600.0,204.0
600.0,204.0
600.0,204.0
604.0,204.0
604.0,204.0
604.0,204.0
604.0,204.0
608.0,204.0
608.0,204.0
608.0,204.0
608.0,204.0
608.0,204.0
608.0,204.0
636.0,204.0
636.0,204.0
636.0,204.0
636.0,204.0
632.0,196.0
634.0,188.0
628.0,204.0
636.0,196.0
632.0,204.0
632.0,208.0
632.0,208.0
632.0,208.0
